TransactionID,AccountID,TransactionAmount,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,DayOfWeek,Hour,Month,DaysSinceLastTransaction,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Cluster,Cluster_PCA
TX000001,AC00128,-0.9712754695068417,San Diego,D000380,162.198.218.92,M015,1.4237182648914386,-0.5524432626288956,-0.2067936485059295,-0.000536635052410607,1,16,4,-573,True,False,False,False,False,False,1,1
TX000002,AC00455,0.2694396064236744,Houston,D000051,13.149.61.4,M052,1.3112870641052805,0.30531436617680696,-0.2067936485059295,2.2164715868484435,1,16,6,-496,True,False,False,False,False,False,1,1
TX000003,AC00019,-0.5868816229808057,Mesa,D000235,215.97.143.157,M009,-1.443277355155591,-0.9098422746312717,-0.2067936485059295,-1.0235341282270716,0,18,7,-483,True,False,True,False,False,True,1,1
TX000004,AC00070,-0.38745590278222686,Raleigh,D000187,200.13.225.150,M002,-1.0497681524040379,-1.353017049514218,-0.2067936485059295,0.8857974429054191,4,16,5,-549,True,False,True,False,False,True,1,1
TX000005,AC00411,-0.9734680903782914,Atlanta,D000308,65.164.3.100,M091,-1.0497681524040379,1.1201841135422244,-0.2067936485059295,0.5935893646592064,0,17,10,-385,False,False,True,False,False,True,0,1
TX000006,AC00393,-0.7038442425922038,Oklahoma City,D000579,117.67.192.211,M054,-1.49949295554867,0.7484891410597533,-0.2067936485059295,-1.1108816933044958,0,17,4,-581,True,False,False,False,False,True,1,1
TX000007,AC00199,-0.9952915199894398,Seattle,D000241,140.212.253.222,M019,-0.4313965480801688,0.2767224452166169,-0.2067936485059295,2.103091796208713,2,16,2,-628,False,False,False,False,False,False,2,1
TX000008,AC00069,-0.43226759184248137,Indianapolis,D000500,92.214.76.157,M020,1.2550714637122016,2.449708438191063,-0.2067936485059295,-0.5943498275623533,0,17,5,-546,False,True,False,False,True,False,0,1
TX000009,AC00135,-0.6556065834203091,Detroit,D000690,24.148.92.177,M035,0.35562185742293734,-0.4809634602284204,-0.2067936485059295,1.0206840106570008,1,16,3,-594,False,True,False,True,False,False,2,1
TX000010,AC00385,1.7759071839141245,Nashville,D000199,32.169.88.41,M007,0.5804842589952534,0.005099196094811046,-0.2067936485059295,-1.049294570483005,4,16,3,-584,True,False,False,False,False,False,1,1
TX000011,AC00150,-0.958633639794889,Albuquerque,D000205,213.15.9.253,M073,0.41183745781601633,-0.8669543931909865,-0.2067936485059295,0.6372080213386072,1,16,3,-601,False,False,True,True,False,False,2,1
TX000012,AC00459,-0.3685445477659726,Memphis,D000589,116.175.11.222,M030,-1.330846154369433,0.7627851015398482,-0.2067936485059295,-0.9193180502003306,0,17,2,-637,True,False,True,False,False,True,1,1
TX000013,AC00392,0.674663351228483,Mesa,D000032,210.98.198.143,M057,-1.162199353190196,-0.12356444822604433,-0.2067936485059295,-0.895931865884976,2,17,6,-516,False,True,False,False,False,True,2,1
TX000014,AC00264,1.658739006096028,Memphis,D000054,193.83.0.183,M025,-1.0497681524040379,0.04798707753509617,-0.2067936485059295,-1.2626675419268705,0,16,11,-350,True,False,False,False,False,True,1,1
TX000015,AC00085,-0.4474446394370476,Louisville,D000309,188.124.181.12,M017,-1.49949295554867,0.20524264281614163,-0.2067936485059295,-1.2344020780640845,0,16,2,-630,True,False,True,False,False,True,1,1
